review,talks_about
"Pale straw colored and showing nice viscosity in the glass it wafts aromas of lemon chiffon. The nuanced yellow apple, starfruit, bell pepper, honeysuckle & white pepper flavors on the palate show with lean lightly salted mineral in excellent balance. This medium bodied wine is set with medium acidity, finishing with a tiny glint of hazelnut. Bx92, ws95",talks about taste
"Ripe, rich, and enticing. Plenty tropical aroma with a a uniquely nutty twist and extra heavy mouthfeel from new oak fermentation and lee aging. The weight of the wine is reflected by the weight of the bottle (thick glass for extra effect). Bring this wine to any dinner party, your guests will be impressed.",talks about taste
"Pale lemon in appearance
Nose: pronounced aromas of grapefruit, gooseberry, grass, papaya, apricot, honeysuckle, vanilla and yogurt 
Palate: off-dry (has a touch of RS), medium + acidity, medium alcohol, medium body with a creamy mouthfeel, pronounced intensity of flavors that confirm the nose, long finish 

Outstanding wine, drink now. 
Less .2 because ~$50 can get a lot of great wine outside of Sauvignon Blanc.",talks about taste
"The aroma is compelling, virtually reaching out and grabbing our attention. Yellow peach, melon, guava and crisp Fuji apple are accented with hints of tropical mango and pineapple. Lime, Minneola tangelo and orange blossom lend citrus notes. Accents of dry summer grass, vanilla-toned panna cotta and toasted crème brûlée create complexity. ",talks about taste
"Straw yellow. Lovely aromatic peach, pear, apricot, cinnamon nose. Sweet stone fruit palate. Medium plus body, firm acidity, smooth finish. The common Sauvignon blanc clone is blended with 30% Sauvignon musque, giving it higher residual sugar to support the sweet experience.",talks about taste
"Straw in color, and notes of pineapple, tropical fruit, lemon zest, and a hint of oak. Extremely well balanced with slight acidity. Notes of citrus, tropical fruit, pineapple, and a hint of vanilla from the oak. Amazing California Sauvignon Blanc",talks about taste
"THE BEST SAUV I’VE EVER TASTED. Holy schmoly!!!! A knockout of a wine. Oaky and buttery, has some beautifully seductive caramel toasty notes…but also passion fruit, rose and hints of honeysuckle. showstopper. Oooh! Mind blowing. 🤯",other
"Clear Lt lemon yellow. Clean, delicate juicy apricot mineral. Lt body med-acid Lt alcohol. Fresh bright mid. Long mineral lemon finish. 100% neural French oak. 6-8 month surlee. Very tasty delicate unique fume blanc. ",talks about taste
Very floral on nose and palate. Pale straw hue with prominent Lily of the Valley perfume and baby’s breath. Moderately acidic with cantaloupe melon and peach coming through. Well rounded in body and mouthfeel.,talks about taste
"One of the most buttery Sauvignons I’ve had. Plenty lime and green apple, passion fruit, and peach coming to the front palate. Summer cut grass and herbaceous notes of green bell pepper. Not the most frugal buy but for that special one - she will absolutely love it.",talks about taste
"Fantastic, it has undertones of oak but still has that classic SB flavor, it’s really well balanced and smooth: a truly unique Sauvignon Blanc ",talks about taste
"Amazing wine. Easy drinking, full of flavor, and refreshing. Tangy. Hints of butter. Peaches. Crisp apples, like the crunchy kinds. Spiced vanilla. Really good. ",talks about taste
"Absolutely insane glass!
Not at all what you think when you say Sb.
Completely liquid gold, melted in the mouth.
Notes of: citrus fruit, oak, cream, honey.",other
"What a beautiful Sav Blanc
Crisp and a hint of sweetness probably from the white peach 🍑 hints
Learned at the winery that they make 10k cases of this wine 
Loved it",talks about taste
citrus oak pear peach tropical melon lemon,talks about taste
"Truly delicious, made in the classic old- world style.  Beautiful balance of fruit and acidity.  A real treasure from the Russian River!",talks about taste
"Dry white with honey, apple and minerality. Very good",talks about taste
Had at Bully Boy with oysters and tuna wraps. It was amazing. ,talks about food combinations
@ butter butter citrus oak ,talks about food combinations
Great 💖,talks about taste
"Top notch sauv blanc, stone fruit and citrus notes, but a balanced sweetness contributed to a higher than expected abv at 14% - notes of honeysuckle",talks about taste
2/13/24 Leigh Ann B brought to book club night at our house. E & I enjoyed w/ caviar on V-day.,other
"Round soft mouthfeel - much smoother than the average Sauvignon Blanc. Very smooth with notes of pear, lemon and maybe apricot. Lovely wine! ",talks about taste
"Absolutely loved this - husband splurged on an anniversary wine and this was delicious! Don’t expect a NZ because this is from Cali; does bear some resemblance but is bright, smooth, and well balanced. Try this!",talks about taste
"Straw Color in the glass. Floral, Spices, Vanilla, Stone Fruit and Honey on the nose. Peach 🍑 Pear 🍐 and Ripe Honey Dew Melon 🍈 on the palate. Lime Peel, Orange Peel, Peppery Spices and a creamy long Finish This is ..My favorite SB from California....",talks about taste
"Fuller bodied Sauvignon Blanc that explodes with flavor, while retaining a crispness and levity that you’d hope to experience from a top quality SB. Apricot, peach, pear and lemon curd notes most prominent. ",talks about taste
"On the Sauvignon Blanc spectrum, falls between the stone fruit driven and the tart tropical fruit driven types. More like a white Bordeaux- well balanced, a degree of minerality. Rather high ABV, but not evident in the palate. Very pricey. P246",talks about taste
"Delivers year over year and this is a staple for me. This is a ripe, plump & juicy SB with big complex flavors. Fragrant aromas of ripe peach, pear, lemon, pineapple, honey, vanilla & honeysuckle. Palate is lush with creamy melon, peach, guava, lemon grass, butter & mango citrus curd. Finish is long with soft minerality, honey & light spice. This is such a huge flavor unique SB with creamy textures & paired perfectly with Thai chicken noodle soup. Dry, med+ body & med+ acidity. Pale yellow color. Excellent quality!",talks about taste
"The 2021 Merry Edwards Sauvignon Blanc from Russian River Valley is made to pair with cold asparagus soup. It has everything: pale straw color; crisp acidity; slight creaminess from 4 month sur lie in 18% new French Oak; and most importantly, a complex bouquet. Bouquets of tropical fruits like mangoes and pineapples initially but also has citrus and honeydews at the end. Just a lovely way to celebrate spring. Had at DCA restaurant student banquet",talks about taste
"Lemon, tropical fruits and a touch of vanilla on the nose. Easy drinker and just the right amount of acidity. Ripe Mellon, pineapple, pink grapefruit and a nice touch of minerality. Not your classic sauv blanc but delicious none the less!",other
"ASTOUNDING

One of my top Sauv Blancs, this stuff is just a damn treat whenever I open it. I call this the secret weapon from the Queen of California Pinot. Paired with scallops & lemon parmesan risotto with broccoli, always amazing. Don't get so distracted by bulls at the rodeo that you don't check out ponies like this one!

The creamiest mouthfeel paints the palate with flavors of grapefruit, tangerine, honeysuckle & lemon pulp
Insane integration. 93 pts",talks about taste
"4.3 I just love this wine.

Although this is the last vintage where they sourced fruit from non estate vineyards. This gives much more fruit characteristics than the estate vineyards. From 2019 on, it will be more mineral driven. I prefer the fruit with this one, so buy the 2018s while you can! This does see French oak for fermentation, 18% new. 6 months on lees.

Fresh acidity with med+ body, sumptuous mouthfeel.
Guava, peach, spicy pear, lemon zest, and chalk.

Delicious.",talks about taste
"Peaches and tropical fruit. Some oak and butter, like a Chardonnay for some reason. Otherwise, very concentrated with decent body",talks about taste
"4.3. Not as good as 2018 but still the best Sauvignon Blanc from USA. Tropical fruit, caramelized apple, and grass. Well done!",talks about taste
"Fruit, intense honey initially, buttery with more citrusy fruit/nectar emerging in the middle…dry and crisp…light bodied…amazing wine…",talks about taste
"Yum. Cantaloupe, guava, pineapple, lavender honey, elderflower, baking yeast, cream. Medium bodied with a nice oily texture and high acidity. Long finish. A little bit of heat at 14%. Very nice.",talks about taste
"Aromas and flavors of guava, pineapple, candied fruit and exotic spices.  100% oak but extremely well integrated.  My wife took a half bottle with her on her business trip.  ",talks about taste
"New fish last night for me  ( Monchong 🐟) if your keeping a fish count. 😉.  Shrimp too in bamboo 🍃 

Big Merry Edward’s fan so when this was on the menu.  Yes please. 

Big style Sauvignon Blanc ( barrel fermented ) with richness and creaminess ( lovely with coconut rice)

Lots of tropical nuances ( guava and mango) with a citrus focus.  Light sprinkling of baking spices. Nice thick white to match the array of food flavours.  This 🍷 can age but still a treat early.  Mahalo",talks about taste
"91pts. 95WS 
Wine spectator what were you smoking ? 
Fermented in barrel with bottanage and using special clone of SB
Smooth. Rather intense flavors of pineapple, marmalade honeysuckle and honey melon 
Medium plus acid with a touch of residual sugar and good amount of oak  dairy and brioche 
A good finish 
But not amazing",talks about taste
"Stone fruit, melon, restrained citrus, with oak and cream notes. Fuller body that most other expressions of this grape. Very interesting and drinkable.",other
"One of finest sav blanc I hv tasted . Balanced acidity , fruity and balanced sweetness",talks about taste
"Peach, butter, cream, grass. Not as herbaceous as other savy bs I’ve had recently because of the oak influence but definitely a cool spin on the grape. ",talks about taste
"Perfect. Nose, first taste, like fairy dust blown in your face.Balanced acids with floral notes, Gorgeous color. At the Bull & Bear in the WA.Glides down your palate.",talks about taste
Outstanding California sb.  Medium body medium plus acidity. Outstanding flavors of pear melon mango tangerine lemon grapefruit  cream butter grass saline minerality ,talks about taste
Floral scents.  Good fruit flavors with a balance of minerals that leave a slight pinch in the cheek on the swallow.,talks about taste
"Approaching Condrieu levels of elegance combined with approachability. Super fruity, super delicious, super super. Tropical like a New Zealand but with touches of oak that California can’t resist. There is almost certainly some RS but it is still dry and refreshing while being expressive. Beautiful wine. Peach and citrus with honey and minerals.",talks about taste
"Unlike any Sauvignon Blanc I've had before and this is why - ""We use a specific mix of clones – two-thirds Shenandoah (Clone 1) and one-third Sauvignon Musqué – that results in a wine brimming with floral and tropical fruit aromatics with a citrusy, juicy core. Barrel fermentation and twice-weekly lees stirring help us create the characteristic creamy texture and rich body"". Dry, medium to medium+ acidity with medium+ to full body and 14% abv. On the complex palate, creamy tropical fruit and pineapple (continued)",other
"Despite the mentions of pear, I mostly get melon and pear notes throughout, with a bit of a buttery taste and smooth finish at the end. Fairly long flavor profile. Really tasty wine, would buy again. Worth the price. ",talks about taste
"Really good wine. Worth the money, oak, gooseberry, starfruit, pear, white flowers, cat pee, pineapple, butter. Very complex. I’m not a Sauv blanc guy but with the oak and malo this is like a very aromatic white burgundy.",talks about value for money
"Pale golden in color, nice long thin legs; aromas of peach, melon, guava, pineapple, honeysuckle & grass on the nose; flavors of pear, grapefruit, apple, lime zest, cream & minerals on the palate with a kiss of almond; off-dry, medium body, moderate acidity, medium tangy finish; very smooth yet complex SB, crisp & refreshing with only slightest hint of oak, amazingly delicious with a great mouthfeel, one of the best SBs I’ve had. ",talks about taste
Lovely complex and expressive Californian Sauvignon Blanc citrus oak pear tropical peach melon cream butter grapefruit lemon pineapple vanilla minerals apple honey stone green apple honeysuckle stone fruit apricot lime grass mango guava tangerine straw white peach toast nectarine passion fruit chard banana caramel honeydew melon orange asian pear cantaloupe papaya hay meyer lemon lemon curd kiwi pepper,talks about taste
"Soft and elegant with low acidity. Citrus notes layered with butter and oak. Long, delicious finish. As much as I enjoyed this wine, I've had other SB for less than half the price that were just as good. ",talks about taste
"Deserving of it's reputation. Pale lemon hue with a medium nose of vanilla, jasmine and apricot. Heidi von Der Mehden has overseen things since Merry retired and the decision to barrel-ferment adds a lush complexity to this that I think gets overlooked by sauv lovers.

Acidity is medium-high, softer as one might expect and with those creamy tones more often fund in chardonnays. 

Vanilla again in the pallette along with crisp minerals and tart pear at the end. Pricey? Maybe, but worth it. It's a unique wine. ",other
I want to give this 5 stars but holy cow this is an incredible wine. Beautiful mouthfeel and the fruit is harmonious. Comes off as off-dry even though its not (a plus for me). Highly highly recommend you go out and try this beauty!,talks about taste
"Pale straw in color. Tropical fruit nose. Crisp Creamy flavors of Mango, Peach, pineapple, Notes of Lemon/Lime Zest. Medium acidity paired with a Salmon Sushi app…On Point!",talks about taste
"PNP. Intense golden color. Coconut cream pie, lemon rind, and subtle pear. Dry and very creamy palate. Soft, but persistent acidity.",talks about taste
"Fantastic. Much more depth and complexity than most SBs around the traps, while still staying fresh, bright and fruit forward. A real winner ",other
"Dry, crisp Sauvignon Blanc from a favorite producer. Baked apple, floral, hints of oak, long supple finish. Enjoyed with seafood lunch",talks about taste
This is my favorite Sauvignon Blanc! A beautiful tropical beach in a glass... hints of pineapple and maybe tangerine blossoms. Delicious! ,talks about taste
Beautiful golden color with nose of lemon grass pine needles and vanilla. Well balanced body with taste consistent of the nose.,talks about taste
"Crisp, bright acidity with limestone and cut grass.  Finish is all stone fruits, peach and pear, and goes on and on.  Wife's favorite SB.",talks about taste
"Stunning bouquet of melon, tropical fruit and pear! Fresh spice and subtle citrus on the tongue! Bright acidic finish! Instant favorite!",talks about taste
"This is a fascinating wine.  I get honeyed peach and tropical fruits, a bit of minerals and lime.  Lovely rich body.  A top class SB, for sure.",talks about taste
" 
Fresh and spicy right up front. With a very long and layered end. Rich with baked apple pineapple peach and citrus. Finishing clean and acidic! 

",talks about taste
Unlike any other Sauvignon blanc I’ve tasted and I’m general not a fan of sav blanc. Has a richness and a bit of sweetness. A standout. Tasted at winery in 2023,other
Amazing wine.  The fruity and creamy nature of the grape takes over your palate from the first sip.  Gorgeous white. ,talks about taste
Quaffable! Oaked SB - somewhere btwn a Sancerre and a Napa chard. ,talks about food combinations
A delicious Sauvignon Blanc outstanding- oak pear peach melon butter fantastic!,talks about taste
"Delicious. Citrus on the nose.  Flowers and soft minerals at first sip.  Goes a little flat at the end, but overall excellent.  I see why it’s highly reviewed.  ",talks about taste
"As good as I remember. Barrel fermented Sav Blanc. Lovely palate of banana, peach, orange blossom, lemon, vanilla and hint of honey. Medium bodied palate adds some beautiful toasted oak and spice notes. A unique and complex SB that always delivers!",talks about taste
Beautiful bright wine.  Light blond almost clear color.  Smeels of kettle corn crisp but not green.  Sweet floral flavors.  Quick finish that is clean and effortless.  Ripe sweet citrus ends with a nice supple ending. ,talks about taste
The best Sauvignon blanc I've ever had. A hint of oak with a lot of pear and nuttiness. Very fruity and complex. A lot of flavors. Nice with a heavy sauce or a buttery fish. Will absolutely get this again. It is not to b passed up.,talks about taste
We love Merry's Pinot's now I can add this fabulous Sav Blanc to my list of summer go to wines. The light Oak infusion is a wonderful touch and really takes this wine to a new level. We drank this a Bouchon's in Yountville and it's was a perfect pairing to my grilled Swordfish dish. Top marks to Merry for another wonderful masterpiece.,talks about taste
"A lovely if somewhat overpriced Sauvignon Blanc. This vibrant wine has a delicate floral fragrance of jasmine, honeysuckle, fruit blossoms, along with orange and lime zest. On the palate, fruit flavors donate with citrus and stone fruit, including white peach, nectarine, pink apple, and pear. For complexity, notes of fresh sweet bread, hazelnut, and dried flowers. Long finish that opens into notes of grapefruit. Nice minerality, some acidity. Elegant overall. Pair with salads, fresh dishes, and lite fare. ",talks about taste
"Amazing sauv blanc.  Really different.  Tropical feuits Nd melon heavy up front with a bit of that musty barnyard thing and some lemon grass.  Long lingering finish with medium plus acid.scott white, thanks for sharing.",other
"I usually don't prefer Sauvignon Blanc, but this wine is exceptional! Pale yellow in color with light tears. Nose of tropical citrus fruits, including pineapple and lemon, with an incredible floral element. More ripe citrus fruits on the palate, alongside pear and light mineral. The wine is well-balanced, with flavors and acidity in delectable unison, and offers a medium (-) finish.",other
"This is an amazing sb. Something between NZ sauvignon blanc and Californian. The nose is beautiful with herbaceous aromas. Palate is smooth and velvety with oak, butter and lovely tastes. Very surprising wine!    ",talks about taste
"Absolutely excellent Sauvignon Blanc! This wine is a crisp, straw color. The nose is extremely effervescent with notes of pineapple, citrus, and other tropical fruits. There is moderate acidity present. The taste is quite fresh, reminiscent of a warm summer afternoon by the beach in Santa Monica. We see lots of citrus fruits, peaches, and pineapple notes. This is a medium bodied wine with a nice finish. Definitely recommend! ",talks about taste
"Tastes more like a big Napa oaked Chardonnay. Peach yogurt, apricot, butter, saline. Bright acidity that integrates nicely in the creamy tree fruits that dominate. Pale/medium gold. Reminds me of the ZD Chardonnay.",talks about taste
"Straw colored. Full, ripe, and complex with tropical notes of melon and pineapple dominating over white citrus. Rounded out with floral notes of honeysuckle and a pleasant oak influence. This is a beautiful wine.",talks about taste
"Happy International Sauvignon Blanc Day!!Fruity and juicy, tropical nose, medium bodied and medium acidity, 14.1% ABV.  Pineapple, key line, peach and vanilla notes. I'm not a big SB fan but this one I could drink all night long! Paired well with jumbo lump crab cakes, roasted Yukon gold potatoes and grilled asparagus. Yum yum. ",talks about taste
Beautifully unique  Sauv Blanc with a grapefruit citrus and honeysuckle nose accented with great acidity. Rounded feel with a smoothness between a NZ Sauv Blanc and a traditional Sancere. Soft fruit makes it a pleasure to drink!,other
"There are bright but delicate aromas of green grass, grapefruit, melon and herbs. The palate is medium bodied with balanced notes of sweet tropical fruits and a crisp herbal, citrus acidity. Even three years old, this white is still drinking beautifully! A cellar-friendly Sauvignon Blanc for sure! ",talks about taste
"The pour is liquid gold and the nose is just as lovely - some oak smoothed out by melon and a whiff of fresh-cut flowers.  The opening and closing notes are remarkably smooth. There is some size and a bit of butter here, so I'd go with poultry over fish as accompaniment. The quality is undeniable.",talks about taste
" This pale straw colored Sauvignon Blanc from Merry Edwards opens with a very faint banana and delicate cantaloupe bouquet.  This wine is full bodied, balanced, round and rich for a Sauvignon Blanc. Flavors of mild vanilla and cream soda blend with a hint of lime, melon, and honey. The finish is dry and fades away nicely. 92 pts.",talks about taste
"Freshly cut grass is attenuated by a pleasant mix of kiwi, lime and tarragon. Medium bodied the expression of fruits on the palate included limestone, lemon oil, white peaches and elderflower. A lovely aperitif to sip on a sunny day sitting on the patio. Savour the subtle flavors and let the aromas speak to you. We felt transported by this wine with a green bean and asparagus salad with almond. This is not a wine you’d quaff down with food in heavy sauce. 93pts",talks about taste
"Drank for Mother's Day. Light yellow straw in color. Nose of peach, pear and green apple with some mineral notes. Tastes of green apple, pear and peach. Refreshing tartness and acidity. Buttery finish and mouthfeel like a California Chardonnay. As the wine opens up it develops honey notes. Very nice wine from a consistent excellent producer.  Currently my favorite sauvignon blanc. ",talks about taste
"Might be the best Sauv Blanc I've had to date. #InstantClassic
Nectarine, apple and lemon as the foundation with gripping minerality and traces of vanilla.

Elegant and dare I say graceful...... Bring on the warm weather, lobster rolls and evenings by the fire-pit.",talks about taste
"Succulent and juicy , with sweet, fresh baby- pineapple, lime, papaya and candied pink grapefruit peel flavors that sing with purity and focus, set on a supple frame and featuring fresh acidity that weaves in and out.
For all the intensity this shows an effortlessness and elegance!",talks about taste
I’ve never had a winery tasting end with a Sauvignon Blanc but in this case it works:  zero citrus and ample pear & peach  makes this a non traditional dessert wine.  It’s an amazing achievement:  6 months in used oak create a unique experience ,other
"This may be the best SB i've tasted till this date.  For someone who dislikes the SB in general,  this wine is a game changer.  Perfect acidity.  Doesn't have an excessive grapefruit or passion fruit aroma overpowering.  Has a bit of density to it, giving it a bit more chunk. Finishes with a briny mineral touch.  This is no poolside sipper !  Pairs beautifully with greasy foods.",other
"Very aromatic, with ripe stone fruits and dense tropical essences on the nose. Dry, the palate is rich and fruity, dominated by nectarines, peaches, mandarines and just some grassiness. Slightly oaked taste, well balanced by its high acidity and ripeness. The finish is dry and citric, makes it a great complement to any sea seafood. A note of caution, the bottle goes down very fast. ",talks about taste
"Fresh and fruity flavors of pineapple and tree fruits. Golden color featuring amazing aromas. Compares with the best New Zealand SB out there. Appreciate the medium bodied,crisp acidity with oaky undertones ",talks about taste
"Aromas of pear, melon, grapefruit, mango, and vanilla. Creamy mouthfeel, with flavors of stone fruit, lemon, pineapple, and mineral on the finish. Beautiful Sauvignon Blanc! 60% Sauvignon Blanc, 40% Sauvignon Musqué. ",talks about taste
"This white wine is on the fruity and has a pale yellow color. It's very easy to drink 😬.  Has aromas of ripe melons, minerals, and peaches. On the palate is complex with a fruity punch of apricots, nectarines, and peaches. ",talks about taste
"The 2018 is better now it has another year of age in the bottle. The best bottles we've had have always been at least 3-4 years old. We plan to cellar a few bottles and try them 4,5 and 6 years in the bottle. Wouldn't try that with any other SBs, but fairly certain the Merry Edwards will improve with a few more years than the basic SB.",other
"Fantasic Wine with ahí te Pizza!
AIS-91
To be paired with a Puros de Hostos Comendador Box Pressed Toro 20-20.
Very harmonious and superbly balanced. 
 citrus peach grapefruit melon minerals green apple stone wild iris 
¡Salud and enjoy!",talks about taste
"THANK YOU BETH!!

This was such a generous gift Boy a wonderful person I met through Vivino. One of my fav grapes in a different Style. 

Shiny yellow with golden hues. This is a heavier Style than I am used to. Med+ body and 14% vol. 
Scents of lemon, pineapple and papaya. Really juicy mouthfeel with an exotic touch. Tangy acidity but at the same time nearly a creamy texture. Long limey and fresh finish with some herbal notes. 

Stunner wine by a Pinot queen 😊",other
"- 5 Vineyards
- 6 months in oak (sur lie)
- Absolutely killer. Bright, ripe fruits of green apple, pear, grapefruit, stone fruit, minerality, creamy mouthfeel (thanks to sur lie), beautiful and very long finish. Best Californian Sauvignon Blanc I've tasted.

Tasting sample",talks about taste
"Tied with Mark David's Transitus as the best sauv blancs I've had. They managed to take a varietal I generally regard as simple with limited variation that attempts to win the crowd with sweetness, and made it into a sleek, finessed version that tamed the fruit and made this a serious wine. Reminds me of the new serious white zin trend, I could get used to more sauv blancs being made like this.",talks about taste
"An extremely well composed white Californian wine. Nice fragrance of jasmine, and honeysuckle. The palate is dominated by citrus, stone fruits and minerality. An exceptional fresh and delicate wine. I was introduced to this wine at a Danish restaurant. It is impossible to get this brand in Norway and Sweden (State monopoly in both countries). If anybody knows where to get hold of this wine please let me know. This wine got 93 points by Wine Spectator.

Highly recommended
             
Cheers my Vivino friends
",talks about taste
"The Merry Edwards booth was a highlight of the wine show. There were six Pinot Noirs, a Chardonnay, and this outstanding Sauvignon Blanc. The addition of 30% Sauvignon Musqué gave this wine a completely new dimension, with notes of honeysuckle, cantaloupe, ginger, and white peach. A wet gravel minerality gave it some solid structure to balance the forward fruit. Far and away the most unique SB I've ever had. Worth every penny! ",talks about taste
"Last ME I had was the 2015. This is equally as good! Great SB with a wonderful balance of minerality, a citrusy fruit  forward taste and acidity. RRV never disappoints. This drives more to a feel of France than anything else produced in The USA. ",talks about taste
"Unusually rich and full-bodied Sauv Blanc - Russian River Valley does not disappoint.  High in alcohol at 14.1% but no trace of burn.  Moderate oak, smooth vanilla, caramelized pear.  Very, very good and terrific value.",talks about value for money
"This has been one of my favorite Sauvignon Blanc's.  To the nose,  citrus and a slight floral aroma. The hits you right away, plenty of peach, apricot and pear flavors. A nice touch of lemon (and I'm not a lemon fan. A very nice dry finish and definitely a touch acidic with these fruits. A very good SB!!",talks about taste
"Most Sauvignon Blancs are dry, boring, and uneventful—not this one! This is the first wine of this grape that I’ve enjoyed in a while.",other
"Light golden color with a nice nose that is soft, smooth and fruity on the palate, accenting the food flavors and recalling the sometimes cool sunny slopes of the Russian River Valley. Love this Sauvignon Blanc and it’s genius wine maker Merry Edwards. ",talks about taste
"Flashy and high - great Sauvignon Blanc!!! Low reflex almost light yellow clear. Odors of floral discreet perfume. Start gives a nice tingle on the toungue even though acidity isn't high. Very smooth going down and elegant aftertaste with some hidden citricity remaining in mouthtaste. Fresh and crisp. A plus also for the price, very fair.",talks about value for money
"A pronounced floral bouquet.  The glass opens with a taste of sweet cherry, followed by melon accented with lemon.  The finish is slightly sweet, accented with honey.  Strong acidity and minerality throughout.  An outstanding Sauvignon Blanc!",talks about taste
"2017 Sauvignon Blanc - lively and tropical on the nose. Pineapple candy, ripe nectarine and white peach. A little yeast influence with the time on lees giving a little more richness rather than imparting taste. A great balance on the palate. Soft mango fruit and a rounded texture. Excellent 92pts not sure I’ve ever given a new world Sauv Blanc a higher score. ",talks about taste
"Visiting again one of my favorite wineries from California; the Mary Edwards Sauvignon Blanc 2014. 100% Sauvignon Blanco and Sonoma county the wine has scents of oak, pineapple, peach, and persimmon. Flavors of oak, pineapple, vanilla, and persimmon. Everytime I visit this winery, I buy a case of this wine. I also keep a library of the 2014 - Present Day. My recommendation? Buy it!",talks about taste
"Really excellent SB that lived up to the hype. It has a distinctively plush and rounded mouthfeel that is outstanding, but doesn’t sacrifice any of the typical SB crispness. I wouldn’t go so far as to say I taste peach and stone fruit, but there is a beautiful melon aspect that tames the citrus. Easily the best Californian SB I’ve ever had - pleases both traditional SB enthusiasts and Chardonnay fans who prefer more body. ",talks about taste
"Big, bold and almost chardonnay, but with a very citrusy finish. Grapefruit, and possibly pineapple flavors give way to a brashness and dryness that screams chard, but begs you to drink more, until it's gone. Will she for years to come, but is plenty ready now. Picked up at the vineyard and I wish I had more.",talks about taste
"On the nose:
Apple cider, honey, light vanilla.

On the palette:
Balanced perfectly, tongue coating. Lemon, honey, oak, vanilla. 

From a non sav blanc lover, this is the best sav blanc I’ve ever had.",talks about taste
"I’m a rookie at the Sauv Blanc, however if they are all like this, I’m all onboard.",talks about taste
Crowd pleaser.  Peach. Citrus.  Medium body.  On the dryer side. ,talks about taste
Fantastic.  Soon to be Mom’s favorite wine.  She just doesn’t know it yet.,talks about taste
This is the best Sauvignon Blanc from California That I have ever tasted,talks about taste
Cream and peach man,talks about food combinations
"floral, slightly sweet, goes well with fish ",talks about taste
"Great Sauvignon blanc nose, but not the typical grassy acid afterbite.",talks about taste
A great summer wine. Crisp and not overly fruity or grassy,talks about taste
Very unique and smooth,other
Yummy floral musque clone sauce blanc very unique and fun to drink with cheese,talks about taste
"Super fruit. Peaches, strawberries
Not too acidious",talks about taste
Beautiful Sav Blanc. Very distinguished palate,talks about taste
Always fantastic Cali SB. ,talks about taste
"Really great. Fruity, clean, applet, crisp.",talks about taste
"Clean, crisp and dry!  Ultimate fish, chicken and white pasta pour!",talks about taste
"Agree great vine, but not S. B. Authentic .",other
"Thicker, smoked citrus, bruised citrus, tropical, green apple, pineapple",talks about taste
"Very nice, floral nose, light and crisp with slight pear and oak",talks about taste
"Great solid sauv, super zesty ",talks about taste
Pale yellow and opaque rim. Smells of grapefruit. Full body Sauvignon blanc. Taste of apricot in the back with a nice finish.,talks about taste
"4.3 lychee, guava, tropical fruits. Smooth and vanilla, acidic, but not aggressively so. ",talks about taste
"Aromas of stone fruit, and tangerine. Smooth and very drinkable. I would definitely order again. ",talks about taste
very well ballanced with the right seafood will bring out the magic,talks about taste
Amazing and gentle Sauvignon! Nothing to dislike!,talks about taste
Drinking amazing right now. Wow! ,other
Just what the doctor ordered on a 108 degree day!  Outstanding Sauv!,talks about taste
Crisp with layered floral notes and light fruit. Multi-faceted but not heavy.,talks about taste
This ins great! Quite different. ,other
A really beautiful wine — peach and grapefruit with nice minerals and stone fruit on the finish. ,talks about taste
Ive been a Marlborough NZ Sauv Blanc guy and am still learning about the good California Sauv Blancs.  But i can say this one is excellent!,talks about taste
Tropical fruits and some oak in the nose and on the palate. Lush long finish,talks about taste
"Peach, pineapple, pear, floral, fantastic with spicy food.",talks about food combinations
Merry makes a mean Sauv Blanc,talks about taste
"Stunning. Full bodied with a grassy nose and a palette loaded with melon, grapefruit, lime, creamy pear and ripe peach on the long crisp finish.",talks about taste
Amazing. Floral. Warm citrus in the mouth v,talks about taste
"Orange blossom, clean and slight minerality on the finish.",talks about taste
"Pear and melon with a slight oak finish, very good mouth feel for a sav blanc.",talks about taste
"Beautiful full mouth feel, long finish",talks about taste
Rivals my love of the Marlborough NZ Sauvignon Blanc. Nose of peach. Honeydew melon and peach with low acidity. Excellent late night treat.,talks about taste
Peach pear and nice minerality. Great finish a,talks about taste
"Maybe the best SB I've ever had. Pears, melon, hints of apple and lemon blend together in layers of flavor that just keep coming. Just terrific.",talks about taste
"White gold color; nose of yellow flowers; palate smooth, buttery honeydew melon on the long finish. Surprisingly un-grassy.  ",talks about taste
"Beautiful roundness, buttery, slight fruit and slight sweetness bring this white wine together to a delicious, fruity finish.",talks about taste
"Love this! Perfect for a summer day by the pool! Nice mouthfeel, and a slight creaminess.  Tropical notes as if I am on a beautiful Caribbean beach.",talks about taste
"Big and round, tropical fruits, melon, pear, super balanced with great acidity, loved it!",talks about taste
"Excellent a great example of what a Sauvignon Blanc should be. Fruity, elegant and crisp. Consistent top performer, Marry has it down. ",talks about taste
Not overpowering. Not a blanc fan in general but this was magnificent. ,other
Wow. Delicious. Smooth; rich with the brightness of a savignon blanc,talks about taste
"Excellent white—rich, but not overdone, fruity but balanced with mineral, and distinctive.",talks about taste
OMG - best  Sauvignon blanc believe I have ever had. My quest is now to find more. ,talks about taste
"Enjoyed this wine with a fish oriented small plates meal at the Easterly restaurant in St Thomas on 2/19/22. Absolutely delicious. Well balanced, not overly minerally or likely, or flinty but just great. Love it. ",talks about taste
Buttery yet silky smooth with vanilla and spice ,talks about taste
